sep=;
STOCK;LAST PRICE;52 WRK LOW;52 WRK HIGH;SENTIMENT;BUYQT;SELLQT;SECTOR;MARKET CAP (RS CR);P/E;BOOK VALUE (RS);DIV (%);MARKET LOT;INDUSTRY P/E;EPS (TTM);P/C;PRICE/BOOK;DIV YIELD.(%);FACE VALUE (RS);DELIVERABLES (%)
Oriental Carbon and Chemicals Ltd.;1350.60;792.20;1589.00;-;379;239;CHEMICALS;1,390.59;27.19;326.04;100.00%;1;48.25;49.68;20.97;4.14;0.74%;10.00;58.24
Padmanabh Industries Ltd.;75.00;45.40;82.20;BUY;50;2000;CHEMICALS;45.58;1,071.43;9.64;0.00%;1;37.57;0.07;1,071.43;7.78;-%;10.00;100
Panama Petrochem Ltd.;236.95;105.00;281.85;-;2464;1683;CHEMICALS;1,433.40;29.11;48.09;50.00%;1;56.95;8.14;27.36;4.93;0.42%;2.00;50.73
Phillips Carbon Black Ltd.;1311.95;238.05;1594.90;-;1571;3750;CHEMICALS;4,521.97;31.28;326.66;60.00%;1;48.25;41.94;22.04;4.02;0.46%;10.00;29.37
Pidilite Industries Ltd.;896.00;624.10;972.00;-;3906;2121;CHEMICALS;45,947.81;60.99;66.29;475.00%;1;56.95;14.69;54.47;13.52;0.53%;1.00;47.14
Pondy Oxides & Chemicals Ltd.;673.25;260.35;779.00;-;1913;2710;CHEMICALS;375.40;11.74;118.43;30.00%;1;29.40;57.35;10.41;5.68;0.45%;10.00;63.64
Premier Explosives Ltd.;454.85;328.00;539.35;-;596;611;CHEMICALS;483.83;31.67;130.70;30.00%;1;72.44;14.36;25.81;3.48;0.66%;10.00;67.80
Punjab Alkalies and Chemicals Ltd.;33.20;12.10;36.75;BUY;-;10.75;CHEMICALS;90.11;-;-10.95;0.00%;1;20.95;-;-;-;-%;10.00;100
Punjab Chemicals & Crop Protection Ltd.;483.15;257.75;520.90;BUY;1394;890;CHEMICALS;592.45;195.61;46.20;0.00%;1;36.79;2.47;34.17;10.46;-%;10.00;57.47
Refex Industries Ltd.;22.00;12.51;30.90;-;4100;638;CHEMICALS;34.05;14.86;6.59;0.00%;1;46.39;1.48;11.06;3.34;-%;10.00;84.91
Resonance Specialities Ltd.;40.50;29.65;55.25;BUY;613;1909;CHEMICALS;46.75;-;15.88;0.00%;1;36.79;-;44.51;2.55;-%;10.00;73.12
Saboo Sodium Chloro Ltd.;22.25;9.40;30.70;SELL;1047;2282;CHEMICALS;53.81;74.17;11.42;0.00%;1;29.40;0.30;21.19;1.95;-%;10.00;100
Seya Industries Ltd.;718.50;284.25;826.00;-;315;567;CHEMICALS;1,767.51;35.34;121.85;10.00%;1;37.57;20.33;27.66;5.90;0.14%;10.00;78.93
Shri Chlochem Ltd.;52.50;34.75;88.85;-;4427;3350;CHEMICALS;79.08;-;25.28;0.00%;1;36.79;-;-;2.08;-%;10.00;100
Solar Industries India Ltd.;1148.80;691.30;1232.15;BUY;118;219;CHEMICALS;10,395.50;77.20;72.78;250.00%;1;72.44;14.88;67.54;15.78;0.44%;2.00;80.10
Sree Rayalaseema Alkalies and Allied Chemicals Ltd.;74.50;20.00;89.95;-;45.94;39.02;CHEMICALS;684.03;16.13;37.14;0.00%;1;20.95;4.62;7.68;2.01;-%;10.00;69.87
Sree Rayalaseema Hi Strength Hyp Ltd.;221.45;110.20;263.50;-;50;2210;CHEMICALS;343.05;17.10;136.16;15.00%;1;29.40;12.95;7.67;1.63;0.68%;10.00;67.82
Standard Industries Ltd.;24.75;21.60;29.25;-;11.26;2100;CHEMICALS;159.21;-;11.11;15.00%;1;20.95;-;-;2.23;3.03%;5.00;100
Sunshield Chemicals Ltd.;353.10;240.00;419.90;BUY;147;985;CHEMICALS;259.64;-;15.45;0.00%;1;56.95;-;280.24;22.85;-%;10.00;76.09
Tanfac Industries Ltd.;128.35;46.80;157.00;-;549;75;CHEMICALS;128.03;46.17;3.80;0.00%;1;29.40;2.78;17.07;33.78;-%;10.00;100
Tata Chemicals Ltd.;749.40;508.80;781.20;-;4525;4952;CHEMICALS;19,091.44;25.73;347.60;110.00%;1;20.95;29.13;21.34;2.16;1.47%;10.00;26.97
Thirumalai Chemicals Ltd.;2133.50;728.50;2437.00;-;1299;2171;CHEMICALS;2,184.45;19.23;252.71;187.50%;1;26.80;110.93;17.10;8.44;0.88%;10.00;52.93
Transpek Industry Ltd.;1400.00;500.00;1493.00;-;643;154;CHEMICALS;781.98;29.72;190.94;90.00%;1;56.95;47.10;22.39;7.33;0.64%;10.00;70.44
Tuticorin Alkali Chemicals and Fertilizers Ltd.;17.80;8.25;18.56;BUY;50;12.6;CHEMICALS;26.34;-;-120.35;0.00%;1;20.95;-;-;-;-%;10.00;100
Tyche Industries Ltd.;140.15;48.00;157.00;-;2559;2786;CHEMICALS;143.65;26.49;46.74;5.00%;1;30.80;5.29;19.68;3.00;0.36%;10.00;96.61
Unique Organics Ltd.;11.80;8.80;18.05;-;190;1300;CHEMICALS;7.02;-;18.95;0.00%;1;37.72;-;-;0.62;-%;10.00;100
UPL Ltd.;780.95;671.00;902.00;-;4451;1729;CHEMICALS;39,675.19;102.89;150.95;350.00%;1;47.93;7.59;38.13;5.17;0.90%;2.00;52.65
Vikas WSP Ltd.;16.31;6.20;18.10;-;13.55;29.65;CHEMICALS;317.13;-;50.65;0.00%;1;37.72;-;16.81;0.32;-%;1.00;100
Vinati Organics Ltd.;984.50;662.80;1122.00;BUY;150;438;CHEMICALS;5,079.14;38.07;131.82;25.00%;1;37.57;25.86;32.82;7.47;0.05%;2.00;87.23
Vinyl Chemicals (India) Ltd.;106.70;61.60;122.30;-;5004;1685;CHEMICALS;195.66;24.47;26.06;180.00%;1;36.79;4.36;24.47;4.09;1.69%;1.00;63.53
Vishnu Chemicals Ltd.;402.00;214.10;436.50;-;269;90;CHEMICALS;480.23;62.42;105.00;0.00%;1;29.40;6.44;22.85;3.83;-%;10.00;100
Godfrey Phillips India Ltd.;997.70;835.10;1375.80;-;438;1137;CIGARETTES;5,187.43;34.59;306.16;400.00%;1;31.35;28.84;21.25;3.26;0.80%;2.00;26.22
Golden Tobacco Ltd.;60.50;48.00;86.05;-;1.23 L;-;CIGARETTES;106.53;-;-106.03;0.00%;1;31.35;-;-;-;-%;10.00;
ITC Ltd.;265.90;242.70;353.20;-;33.01;27.57;CIGARETTES;324,144.25;30.81;37.20;475.00%;1;31.35;8.63;28.05;7.15;1.79%;1.00;73.19
Kothari Products Ltd.;211.65;166.00;246.40;-;1488;1093;CIGARETTES;631.65;11.89;276.18;30.00%;1;10.99;17.80;11.54;0.77;1.42%;10.00;57.86
NTC Industries Ltd.;55.45;34.65;72.50;-;694;1850;CIGARETTES;59.61;58.37;28.89;0.00%;1;31.35;0.95;39.05;1.92;-%;10.00;97.23
VST Industries Ltd.;3126.70;2372.35;3774.00;-;45;124;CIGARETTES;4,828.23;27.73;346.08;750.00%;1;31.35;112.75;22.88;9.03;2.40%;10.00;64.74
Elgi Equipments Ltd.;297.40;183.00;325.20;BUY;1181;1371;COMPRESSORS;4,712.44;70.98;34.13;100.00%;1;40.22;4.19;45.68;8.71;0.34%;1.00;57.47
Ingersoll Rand (India) Ltd.;848.65;645.00;940.00;BUY;769;1799;COMPRESSORS;2,679.02;34.74;336.28;60.00%;1;40.22;24.43;30.14;2.52;0.71%;10.00;61.50
Kirloskar Pneumatic Company Ltd.;980.90;700.00;1389.90;-;145;454;COMPRESSORS;1,259.90;37.99;299.36;100.00%;1;40.22;25.82;24.97;3.28;1.02%;10.00;73.51
Veljan Denison Ltd.;1170.00;768.10;1500.00;-;97;124;COMPRESSORS;263.25;22.39;509.97;100.00%;1;40.22;52.25;18.38;2.29;0.85%;10.00;100
Accel Transmatic Ltd.;2.66;2.53;6.75;-;-;-;COMPUTERS - HARDWARE;2.94;-;-22.70;0.00%;1;45.94;-;-;-;-%;10.00;100
Cerebra Integrated Technologies Ltd.;59.30;28.60;65.90;-;5695;33.61;COMPUTERS - HARDWARE;713.89;191.29;13.87;0.00%;1;42.82;0.31;185.31;4.28;-%;10.00;19.87
Compuage Infocom Ltd.;54.50;21.35;64.85;BUY;1477;2708;COMPUTERS - HARDWARE;320.13;17.87;19.58;20.00%;1;45.94;3.05;15.01;2.78;0.73%;2.00;61.66
Eco Recycling Ltd.;77.35;35.20;98.75;-;-;1904;COMPUTERS - HARDWARE;135.69;97.91;17.12;0.00%;1;21.58;0.79;78.93;4.52;-%;10.00;81.00
HCL Infosystems Ltd.;58.40;40.10;64.85;-;40.71;60.97;COMPUTERS - HARDWARE;1,922.47;-;34.06;0.00%;1;42.82;-;-;1.71;-%;2.00;32.43
Monotype India Ltd.;4.29;4.29;22.55;BUY;-;5.19 L;FINANCE - INVESTMENTS;301.64;-;1.06;0.00%;1;46.34;-;-;4.05;-%;1.00;100
Moser Baer (India) Ltd.;5.75;3.97;8.51;-;24.37;9281;COMPUTERS - HARDWARE;127.52;-;-131.02;0.00%;1;45.94;-;-;-;-%;10.00;40.77
MRO-TEK Realty Ltd.;38.00;35.20;73.65;-;-;100;COMPUTERS - HARDWARE;71.00;-;3.31;0.00%;1;38.40;-;65.52;11.48;-%;5.00;100
PCS Industries Ltd.;28.40;19.00;36.00;-;6094;2938;COMPUTERS - HARDWARE;59.50;12.35;21.44;0.00%;1;42.82;2.30;10.11;1.32;-%;10.00;74.17
Redington (India) Ltd.;188.35;99.55;210.05;-;13.62;9349;COMPUTERS - HARDWARE;7,537.25;37.00;38.64;215.00%;1;42.82;5.09;35.07;4.87;2.28%;2.00;76.38
Smartlink Network Systems Ltd.;122.25;85.10;137.00;BUY;2175;807;COMPUTERS - HARDWARE;275.67;36.93;148.95;100.00%;1;42.82;3.31;31.75;0.82;1.64%;2.00;47.41
SPEL Semiconductor Ltd.;18.15;9.50;24.45;BUY;6458;5550;COMPUTERS - HARDWARE;83.70;-;10.48;0.00%;1;45.94;-;37.81;1.73;-%;10.00;100
Spice Mobility Ltd.;26.25;13.07;33.60;-;1840;7051;TELECOMMUNICATIONS - EQUIPMENT;598.14;-;4.07;0.00%;1;38.40;-;-;6.45;-%;3.00;77.18
Total Exports Ltd.;1.38;1.12;3.70;-;-;-;COMPUTERS - HARDWARE;1.11;-;3.65;0.00%;1;75.90;-;-;0.38;-%;10.00;
TVS Electronics Ltd.;423.70;165.55;544.60;-;1590;1517;COMPUTERS - HARDWARE;788.63;51.48;27.62;5.00%;1;45.94;8.23;32.34;15.34;0.12%;10.00;100
Vintron Industries Ltd.;0.37;0.31;1.86;-;12.3;-;COMPUTERS - HARDWARE;2.90;-;-0.47;0.00%;1;42.82;-;-;-;-%;1.00;100
Zenith Computers Ltd.;2.31;0.92;2.69;-;-;900;COMPUTERS - HARDWARE;3.58;-;-50.31;0.00%;1;42.82;-;-;-;-%;10.00;100
Greycells Education Ltd.;44.00;27.35;46.70;-;-;2;COMPUTERS - SOFTWARE - TRAINING;34.79;-;33.63;0.00%;1;53.53;-;-;1.31;-%;10.00;
3i Infotech Ltd.;7.77;3.60;9.27;-;-;8.04 L;COMPUTERS - SOFTWARE;1,036.64;-;2.78;0.00%;1;21.58;-;-;2.79;-%;10.00;37.07
Ceinsys Tech Ltd.;223.90;122.00;244.00;-;21;21;COMPUTERS - SOFTWARE;247.46;-;48.91;12.50%;1;21.58;* -;-;4.58;0.56%;10.00;
AGC Networks Ltd.;124.25;82.00;170.70;BUY;955;480;COMPUTERS - SOFTWARE;353.70;32.19;14.97;0.00%;1;21.58;3.86;26.44;8.30;-%;10.00;100
Bodhtree Consulting Ltd.;95.80;34.00;108.20;-;4391;5082;COMPUTERS - SOFTWARE;191.20;70.44;19.64;5.00%;1;21.58;1.36;48.63;4.88;0.52%;10.00;71.84
Cyient Ltd.;589.50;435.05;605.25;-;748;2589;COMPUTERS - SOFTWARE;6,637.12;22.88;167.17;210.00%;1;21.58;25.77;19.28;3.53;1.78%;5.00;30.37
Ducon Infratechnologies Ltd.;52.00;27.25;80.75;-;2135;6315;COMPUTERS - SOFTWARE;407.80;650.00;3.42;0.00%;1;42.82;0.08;273.68;15.20;-%;1.00;67.91
63 Moons Technologies Ltd.;112.00;53.80;166.00;-;2653;7989;COMPUTERS - SOFTWARE;516.08;13.04;617.40;100.00%;1;21.58;8.59;7.74;0.18;1.79%;2.00;44.52
HCL Technologies Ltd.;952.30;778.05;962.70;-;2184;6338;COMPUTERS - SOFTWARE;132,572.01;19.12;186.52;300.00%;1;21.58;49.81;17.88;5.11;0.63%;2.00;60.95
Hexaware Technologies Ltd.;358.15;187.50;368.75;-;1698;3023;COMPUTERS - SOFTWARE;10,627.32;24.96;44.54;275.00%;1;21.58;14.35;22.70;8.04;1.54%;2.00;30.86
Hinduja Global Solutions Ltd.;910.85;490.65;1012.00;-;567;800;COMPUTERS - SOFTWARE;1,894.50;17.11;476.34;25.00%;1;21.58;53.25;10.02;1.91;0.27%;10.00;46.09
Hinduja Ventures Ltd.;760.55;437.40;865.70;BUY;1043;1179;COMPUTERS - SOFTWARE;1,563.35;14.81;500.28;175.00%;1;21.58;51.35;14.65;1.52;2.30%;10.00;52.49
Hypersoft Technologies Ltd.;8.74;8.27;11.65;-;-;13;COMPUTERS - SOFTWARE;3.72;15.07;6.70;0.00%;1;21.58;0.58;13.04;1.30;-%;10.00;96.89
ICSA India Ltd.;6.11;2.16;6.87;-;-;34.13;COMPUTERS - SOFTWARE;29.41;-;-238.32;0.00%;1;21.58;-;16.08;-;-%;2.00;100
Infinite Computer Solutions India Ltd.;357.35;201.05;385.45;BUY;1824;1219;COMPUTERS - SOFTWARE;1,226.34;14.12;161.11;0.00%;1;21.58;25.31;12.11;2.22;-%;10.00;65.47
Infosys Ltd.;1152.25;861.50;1160.00;-;6381;47.75;COMPUTERS - SOFTWARE;251,645.61;15.20;311.18;515.00%;1;21.58;75.83;14.07;3.70;2.23%;5.00;51.49
Intellect Design Arena Ltd.;188.50;96.50;195.00;-;8827;22.47;COMPUTERS - SOFTWARE;2,358.49;-;56.05;0.00%;1;21.58;-;-;3.36;-%;5.00;51.43
Larsen & Toubro Infotech Ltd.;1117.15;653.35;1229.00;-;886;5520;COMPUTERS - SOFTWARE;19,207.60;18.25;173.15;1655.00%;1;21.58;61.20;16.54;6.45;1.48%;1.00;64.81
Mahaveer Infoway Ltd.;3.99;2.13;6.52;-;-;1277;COMPUTERS - SOFTWARE;2.20;-;11.99;0.00%;1;21.58;-;-;0.33;-%;10.00;
Mastek Ltd.;427.55;165.50;440.00;BUY;3839;1510;COMPUTERS - SOFTWARE;1,008.98;62.05;98.20;70.00%;1;21.58;6.89;35.66;4.35;0.82%;5.00;30.79
Mindteck (India) Ltd.;80.80;62.65;103.90;BUY;1348;2798;COMPUTERS - SOFTWARE;205.81;54.23;70.00;10.00%;1;21.58;1.49;39.61;1.15;1.24%;10.00;53.13
Mindtree Ltd.;623.45;435.00;643.50;-;8528;4061;COMPUTERS - SOFTWARE;10,219.99;19.15;167.99;100.00%;1;21.58;32.55;15.33;3.71;1.60%;10.00;29.37
MphasiS Ltd.;759.50;517.00;788.95;-;2471;2847;COMPUTERS - SOFTWARE;14,670.91;21.56;242.18;170.00%;1;21.58;35.23;20.75;3.14;2.24%;10.00;82.23
NIIT Technologies Ltd.;707.10;401.10;736.00;-;3291;1708;COMPUTERS - SOFTWARE;4,343.89;16.36;218.03;125.00%;1;21.58;43.21;12.19;3.24;1.77%;10.00;11.90
Oracle Financial Services Software Ltd.;4085.60;3149.25;4220.00;-;97;413;COMPUTERS - SOFTWARE;34,880.04;30.88;313.45;3400.00%;1;21.58;132.32;29.15;13.03;4.16%;5.00;43.47
Persistent Systems Ltd.;769.55;558.05;792.20;BUY;1356;4322;COMPUTERS - SOFTWARE;6,156.40;20.37;226.80;90.00%;1;21.58;37.77;16.95;3.39;1.17%;10.00;65.76
Polaris Consulting & Services Ltd.;408.40;153.60;425.00;-;4921;1795;COMPUTERS - SOFTWARE;4,186.13;36.14;74.15;0.00%;1;21.58;11.30;30.30;5.51;-%;5.00;43.38
Quick Heal Technologies Ltd.;367.45;172.75;403.50;-;6704;7819;COMPUTERS - SOFTWARE;2,590.58;47.60;96.37;25.00%;1;21.58;7.72;30.37;3.81;0.68%;10.00;28.56
Ramco System Ltd.;537.40;313.15;572.90;-;1185;805;COMPUTERS - SOFTWARE;1,640.77;27.95;224.43;0.00%;1;21.58;19.23;15.61;2.39;-%;10.00;59.03
Rolta India Ltd.;74.35;50.25;82.10;-;17.09;48.7;COMPUTERS - SOFTWARE;1,225.74;168.98;236.95;0.00%;1;21.58;0.44;11.99;0.31;-%;10.00;25.15
Saksoft Ltd.;239.55;185.00;333.00;BUY;379;589;COMPUTERS - SOFTWARE;251.41;24.62;68.21;30.00%;1;21.58;9.73;22.90;3.51;1.25%;10.00;54.70
Sasken Technologies Ltd.;726.10;375.00;777.00;-;233;217;COMPUTERS - SOFTWARE;1,242.37;16.39;316.59;70.00%;1;21.58;44.30;15.20;2.29;0.96%;10.00;55.98
SQS India BFSI Ltd.;539.10;403.00;725.00;BUY;1479;617;COMPUTERS - SOFTWARE;576.74;27.59;97.16;240.00%;1;21.58;19.54;22.11;5.55;4.45%;10.00;58.71
Tata Consultancy Services Ltd.;2889.45;2154.30;2925.00;-;4056;4181;COMPUTERS - SOFTWARE;553,123.83;22.75;407.55;4700.00%;1;21.58;127.03;21.36;7.09;1.63%;1.00;29.95
Tata Elxsi Ltd.;1045.40;795.00;1840.70;-;2467;2836;COMPUTERS - SOFTWARE;6,510.38;33.34;89.76;160.00%;1;21.58;31.36;29.30;11.65;1.53%;10.00;14.75
Tech Mahindra Ltd.;553.30;357.60;564.00;-;3705;11.29;COMPUTERS - SOFTWARE;54,169.74;15.00;172.55;180.00%;1;21.58;36.89;12.80;3.21;1.63%;5.00;51.61
Wipro Ltd.;325.75;222.78;334.75;-;9538;11.9;COMPUTERS - SOFTWARE;158,545.81;18.92;95.96;200.00%;1;21.58;17.22;16.81;3.39;1.23%;2.00;21.60
Zensar Technologies Ltd.;903.75;735.50;954.50;BUY;421;995;COMPUTERS - SOFTWARE;4,064.83;22.59;250.85;120.00%;1;21.58;40.00;19.01;3.60;1.33%;10.00;56.78
ABM Knowledgeware Ltd.;125.35;101.10;176.00;-;9372;7657;COMPUTERS - SOFTWARE MEDIUM & SMALL;250.73;13.73;59.88;25.00%;1;21.58;9.13;12.57;2.09;1.00%;5.00;60.29
Accel Frontline Ltd.;66.75;28.80;81.80;BUY;1000;50;COMPUTERS - SOFTWARE MEDIUM & SMALL;198.66;3.83;-14.91;0.00%;1;21.58;17.43;3.27;-;-%;10.00;62.44
Accelya Kale Solutions Ltd.;1475.10;1260.00;1864.00;BUY;150;264;COMPUTERS - SOFTWARE MEDIUM & SMALL;2,201.77;25.24;110.33;510.00%;1;21.58;58.45;21.67;13.37;3.46%;10.00;30.10
Ace Software Exports Ltd.;25.00;16.25;30.40;-;100;200;COMPUTERS - SOFTWARE MEDIUM & SMALL;11.70;10.16;37.90;0.00%;1;21.58;2.46;7.42;0.66;-%;10.00;100
Advent Computer Services Ltd.;2.80;1.39;3.99;-;490;9478;COMPUTERS - SOFTWARE MEDIUM & SMALL;4.56;-;9.51;0.00%;1;21.58;-;-;0.29;-%;10.00;100
AJEL Ltd.;4.41;3.65;5.62;-;-;-;COMPUTERS - SOFTWARE MEDIUM & SMALL;5.14;-;10.73;0.00%;1;21.58;-;110.25;0.41;-%;10.00;100
Allied Digital Services Ltd.;24.75;18.75;37.50;BUY;3403;800;COMPUTERS - SOFTWARE MEDIUM & SMALL;124.26;-;89.57;0.00%;1;21.58;-;9.34;0.28;-%;5.00;100
ALLSEC Technologies Ltd.;435.20;306.00;531.10;BUY;144;78;COMPUTERS - SOFTWARE MEDIUM & SMALL;663.17;23.54;97.15;0.00%;1;22.72;18.49;21.02;4.48;-%;10.00;70.80
Aqua Pumps Infra Ventures Ltd.;26.85;9.10;26.85;-;2995;-;COMPUTERS - SOFTWARE MEDIUM & SMALL;40.62;40.07;22.41;0.00%;1;25.52;0.67;31.22;1.20;-%;10.00;100
ASM Technologies Ltd.;160.55;100.00;167.95;-;903;1894;COMPUTERS - SOFTWARE MEDIUM & SMALL;80.28;11.64;120.80;50.00%;1;21.58;13.79;9.53;1.33;3.11%;10.00;93.12
aurionPro Solutions Ltd.;235.50;103.05;283.50;BUY;3090;2574;COMPUTERS - SOFTWARE MEDIUM & SMALL;545.17;131.56;183.51;10.00%;1;21.58;1.79;31.32;1.28;0.42%;10.00;59.51
Avance Technologies Ltd.;1.37;1.37;3.20;BUY;-;1.48 L;COMPUTERS - SOFTWARE MEDIUM & SMALL;27.15;137.00;19.51;0.00%;1;21.58;0.01;137.00;0.07;-%;10.00;100
Avantel Ltd.;526.05;123.00;559.85;BUY;616;341;COMPUTERS - SOFTWARE MEDIUM & SMALL;213.29;13.57;47.99;20.00%;1;21.58;38.76;12.24;10.96;0.38%;10.00;92.63
AXISCADES Engineering Technologies Ltd.;208.80;107.50;228.00;BUY;377;4880;COMPUTERS - SOFTWARE MEDIUM & SMALL;788.42;264.30;61.85;0.00%;1;22.72;0.79;61.23;3.38;-%;5.00;46.54
B2B Software Technologies Ltd.;15.95;6.86;16.26;BUY;-;300;COMPUTERS - SOFTWARE MEDIUM & SMALL;18.48;20.71;6.51;0.00%;1;21.58;0.77;17.72;2.45;-%;10.00;100
Baron Infotech Ltd.;0.33;0.31;0.51;-;300;-;COMPUTERS - SOFTWARE MEDIUM & SMALL;0.34;-;1.64;0.00%;1;21.58;* -;-;0.20;-%;10.00;
BLS Infotech Ltd.;0.40;0.19;0.42;-;-;1000;COMPUTERS - SOFTWARE MEDIUM & SMALL;17.51;-;0.94;0.00%;1;21.58;* -;-;0.43;-%;1.00;100
California Software Ltd.;78.50;5.68;113.95;BUY;100;617;COMPUTERS - SOFTWARE MEDIUM & SMALL;97.07;10.68;-21.31;0.00%;1;21.58;7.35;10.68;-;-%;10.00;100
Cambridge Technology Enterprises Ltd.;100.90;59.75;104.60;BUY;3821;-;COMPUTERS - SOFTWARE MEDIUM & SMALL;198.08;44.65;13.85;0.00%;1;21.58;2.26;36.69;7.29;-%;10.00;100
CG-Vak Software and Exports Ltd.;32.30;25.10;40.10;-;635;496;COMPUTERS - SOFTWARE MEDIUM & SMALL;16.31;24.66;17.85;5.00%;1;21.58;1.31;17.37;1.81;1.55%;10.00;94.26
Cigniti Technologies Ltd.;277.00;161.45;493.10;SELL;632;10;COMPUTERS - SOFTWARE MEDIUM & SMALL;734.31;-;48.93;0.00%;1;21.58;-;-;5.66;-%;10.00;100
Commex Technology Ltd.;1.33;0.40;1.33;BUY;8406;-;COMPUTERS - SOFTWARE MEDIUM & SMALL;20.63;-;3.52;0.00%;1;21.58;-;-;0.38;-%;2.00;100
Compucom Software Ltd.;17.10;10.56;21.90;-;6732;247;COMPUTERS - SOFTWARE MEDIUM & SMALL;135.30;74.35;15.69;5.00%;1;66.31;0.23;8.18;1.09;0.58%;2.00;100
Contech Software Ltd.;1.38;1.31;1.92;-;1604;-;COMPUTERS - SOFTWARE MEDIUM & SMALL;0.76;-;13.92;0.00%;1;17.12;-;-;0.10;-%;10.00;100
COSYN Ltd.;101.40;66.40;218.90;-;18.75;5783;COMPUTERS - SOFTWARE MEDIUM & SMALL;76.05;12.23;30.10;10.00%;1;21.58;8.29;10.76;3.37;0.99%;10.00;74.01
Cranes Software International Ltd.;5.92;0.84;5.92;-;62.9;-;COMPUTERS - SOFTWARE MEDIUM & SMALL;69.72;-;-21.57;0.00%;1;21.58;-;-;-;-%;2.00;100
Cura Technologies Ltd.;5.99;3.46;17.31;-;501;7054;COMPUTERS - SOFTWARE MEDIUM & SMALL;5.72;-;2.42;0.00%;1;21.58;-;-;2.48;-%;10.00;100
Cybermate Infotek Ltd.;3.89;1.81;5.40;BUY;4325;37.36;COMPUTERS - SOFTWARE MEDIUM & SMALL;31.33;9.26;2.20;0.00%;1;21.58;0.42;5.72;1.77;-%;2.00;68.99
Cybertech Systems and Software Ltd.;85.90;48.00;95.30;BUY;1116;4080;COMPUTERS - SOFTWARE MEDIUM & SMALL;235.49;31.35;30.78;10.00%;1;21.58;2.74;20.16;2.79;1.16%;10.00;40.65
Danlaw Technologies India Ltd.;88.90;41.00;96.90;-;1077;1437;COMPUTERS - SOFTWARE MEDIUM & SMALL;33.07;-;61.44;0.00%;1;21.58;-;-;1.45;-%;10.00;100
Datamatics Global Services Ltd.;137.05;93.00;164.85;BUY;21.71;6115;COMPUTERS - SOFTWARE MEDIUM & SMALL;807.90;31.51;79.62;15.00%;1;21.58;4.35;20.46;1.72;0.55%;5.00;53.49
Diamond Infosystems Ltd.;1.33;1.20;3.04;-;25.8;-;COMPUTERS - SOFTWARE MEDIUM & SMALL;53.47;-;1.19;0.00%;1;21.58;* -;-;1.12;-%;1.00;
Dion Global Solutions Ltd.;47.00;33.00;77.00;-;1887;2615;COMPUTERS - SOFTWARE MEDIUM & SMALL;151.47;-;62.73;0.00%;1;21.58;-;-;0.75;-%;10.00;47.51
Dynacons Systems and Solutions Ltd.;49.60;16.50;66.00;-;1259;1523;COMPUTERS - SOFTWARE MEDIUM & SMALL;31.64;20.24;29.83;0.00%;1;21.58;2.45;14.55;1.66;-%;10.00;61.11
eClerx Services Ltd.;1526.25;1141.65;1595.00;BUY;674;1640;COMPUTERS - SOFTWARE MEDIUM & SMALL;6,092.65;19.52;275.42;10.00%;1;22.72;78.20;17.48;5.54;0.07%;10.00;72.03
Excel Realty N Infra Ltd.;116.40;32.25;135.90;BUY;629;1233;COMPUTERS - SOFTWARE MEDIUM & SMALL;364.90;135.35;52.95;0.00%;1;22.72;0.86;122.53;2.20;-%;10.00;100
FCS Software Solutions Ltd.;0.20;0.20;0.33;-;-;7.3 L;COMPUTERS - SOFTWARE MEDIUM & SMALL;34.19;-;2.20;0.00%;1;21.58;* -;6.67;0.09;-%;1.00;
Firstobject Technologies Ltd.;15.50;13.00;20.10;-;510;451;COMPUTERS - SOFTWARE MEDIUM & SMALL;16.12;70.45;29.44;0.00%;1;21.58;0.22;14.62;0.53;-%;10.00;90.76
Firstsource Solutions Ltd.;43.25;30.40;49.30;-;53.14;1.18 L;COMPUTERS - SOFTWARE MEDIUM & SMALL;2,963.75;14.71;29.23;0.00%;1;22.72;2.94;13.43;1.48;-%;10.00;41.64
Fourth Generation Information Systems Ltd.;1.96;1.60;4.48;-;130;-;COMPUTERS - SOFTWARE MEDIUM & SMALL;0.70;-;0.31;0.00%;1;21.58;-;-;6.32;-%;10.00;100
Frontier Informatics Ltd.;2.05;0.40;2.05;-;75;-;COMPUTERS - SOFTWARE MEDIUM & SMALL;1.36;-;-3.10;0.00%;1;21.58;-;-;-;-%;1.00;
Genesys International Corporation Ltd.;303.95;134.05;390.00;BUY;6175;4172;COMPUTERS - SOFTWARE MEDIUM & SMALL;932.61;34.70;76.08;2.50%;1;21.58;8.76;27.89;4.00;0.04%;5.00;57.17
Goldstone Technologies Ltd.;18.65;6.36;19.65;BUY;402;300;COMPUTERS - SOFTWARE MEDIUM & SMALL;35.03;-;25.81;0.00%;1;21.58;-;19.63;0.72;-%;10.00;100
GSS Infotech Ltd.;34.25;19.00;39.35;BUY;27.23;750;COMPUTERS - SOFTWARE MEDIUM & SMALL;58.01;-;62.00;0.00%;1;21.58;-;-;0.55;-%;10.00;56.43
HOV Services Ltd.;320.40;125.60;396.60;-;1335;999;COMPUTERS - SOFTWARE MEDIUM & SMALL;401.64;283.54;70.12;0.00%;1;22.72;1.13;252.28;4.57;-%;10.00;100
IKF Technologies Ltd.;0.61;0.53;0.87;SELL;-;1.99 L;COMPUTERS - SOFTWARE MEDIUM & SMALL;26.27;-;3.27;0.00%;1;21.58;-;15.25;0.19;-%;1.00;
