sep=;
STOCK;LAST PRICE;52 WRK LOW;52 WRK HIGH;SENTIMENT;BUYQT;SELLQT;SECTOR;MARKET CAP (RS CR);P/E;BOOK VALUE (RS);DIV (%);MARKET LOT;INDUSTRY P/E;EPS (TTM);P/C;PRICE/BOOK;DIV YIELD.(%);FACE VALUE (RS);DELIVERABLES (%)
Andhra Petro Ltd.;63.10;22.90;69.65;-;14.72;-;CHEMICALS;536.17;25.97;13.35;0.00%;1;35.54;2.43;18.08;4.73;-%;10.00;76.55
Ashok Alco-Chem Ltd.;106.75;75.00;131.45;-;682;2098;CHEMICALS;49.11;33.46;101.43;10.00%;1;30.44;3.19;19.73;1.05;0.94%;10.00;71.10
Avon Lifesciences Ltd.;18.11;4.04;20.37;-;1677;10;CHEMICALS;43.33;-;6.31;0.00%;1;29.40;-;-;2.87;-%;10.00;100
Balaji Amines Ltd.;708.00;271.10;781.00;-;1714;1057;CHEMICALS;2,296.48;25.68;113.67;110.00%;1;36.79;27.57;21.33;6.23;0.31%;2.00;42.72
BASF India Ltd.;2186.00;1120.00;2430.00;BUY;266;295;CHEMICALS;9,462.24;56.02;254.65;10.00%;1;36.79;39.02;28.00;8.58;0.05%;10.00;67.06
Camlin Fine Sciences Ltd.;133.70;71.00;154.70;-;11.38;13.37;CHEMICALS;1,619.84;-;14.86;0.00%;1;45.05;-;-;9.00;-%;1.00;58.62
Camphor and Allied Products Ltd.;1316.45;645.00;1389.95;SELL;463;1301;CHEMICALS;675.82;28.76;350.30;15.00%;1;36.79;45.78;19.24;3.76;0.11%;10.00;88.35
Chembond Chemicals Ltd.;283.15;179.70;287.00;BUY;5994;3101;CHEMICALS;380.79;42.26;147.35;33.00%;1;56.95;6.70;32.43;1.92;0.58%;5.00;93.40
Cochin Minerals and Rutile Ltd.;194.15;77.00;214.00;-;1156;1105;CHEMICALS;152.02;-;85.20;0.00%;1;29.40;-;-;2.28;-%;10.00;67.33
Dai-Ichi Karkaria Ltd.;454.10;340.00;563.00;BUY;940;1685;CHEMICALS;338.36;31.98;157.37;30.00%;1;56.95;14.20;26.85;2.89;0.66%;10.00;77.61
Deepak Nitrite Ltd.;286.70;97.00;294.85;-;6691;5946;CHEMICALS;3,747.49;52.41;56.12;60.00%;1;29.40;5.47;32.92;5.11;0.42%;2.00;54.93
Dharamsi Morarji Chemical Company Ltd.;115.05;90.55;148.00;-;11.78;9227;CHEMICALS;251.35;21.71;26.09;0.00%;1;21.73;5.30;16.44;4.41;-%;10.00;93.32
Elantas Beck India Ltd.;2188.05;1726.00;2395.00;-;286;192;CHEMICALS;1,734.62;33.23;279.89;45.00%;1;36.79;65.84;30.23;7.82;0.21%;10.00;92.24
Emmessar Biotech And Nutrition Ltd.;33.95;17.40;36.35;BUY;5500;1500;CHEMICALS;16.96;14.03;4.18;0.00%;1;29.40;2.42;13.86;8.12;-%;10.00;100
Excel Castronics Ltd.;1.32;0.71;3.79;BUY;500;39.17;CHEMICALS;5.37;-;2.81;0.00%;1;45.05;-;-;0.47;-%;2.00;100
Excel Industries Ltd.;730.65;343.30;746.30;BUY;439;389;CHEMICALS;1,003.23;22.62;176.85;120.00%;1;47.93;32.30;17.22;4.13;0.82%;5.00;53.16
Fineotex Chemical Ltd.;80.00;23.50;106.05;-;2142;6730;CHEMICALS;890.40;47.90;8.59;5.00%;1;56.95;1.67;46.51;9.31;0.13%;2.00;53.86
Florence Investech Ltd.;2317.15;561.35;2430.00;-;77;92;FINANCE - INVESTMENTS;771.37;47.20;489.13;300.00%;1;46.34;49.09;47.20;4.74;1.29%;10.00;93.42
Ganesh Benzoplast Ltd.;97.70;31.95;108.35;BUY;23.48;17.5;CHEMICALS;505.93;24.24;-4.62;0.00%;1;35.54;4.03;15.86;-;-%;1.00;68.61
GeeCee Ventures Ltd.;166.95;106.75;193.80;BUY;1181;1226;CHEMICALS;362.72;13.41;164.66;0.00%;1;47.93;12.45;12.71;1.01;-%;10.00;53.73
GOCL Corporation Ltd.;641.20;268.10;700.00;BUY;35;85;CHEMICALS;3,178.59;176.15;73.16;80.00%;1;31.50;3.64;160.70;8.76;0.25%;2.00;42.90
Grauer and Weil (India) Ltd.;75.35;33.25;85.50;-;38.73;29.82;CHEMICALS;1,708.23;29.55;13.36;40.00%;1;56.95;2.55;23.77;5.64;0.53%;1.00;69.60
Gujarat Alkalies and Chemicals Ltd.;900.00;356.55;932.35;BUY;2047;1224;CHEMICALS;6,609.32;19.66;457.10;50.00%;1;20.95;45.78;14.78;1.97;0.56%;10.00;29.52
